"dataset_type","question","isotype","Model","ROC","ROC_low","ROC_high","AUPRC","Brier"
"ratio","dengue_vs_not","avidity","XGBoost",0.983333333333333,0.950666666666667,1.016,0.73875,0.1032747116898
"ratio","dengue_vs_not","avidity","PLS-DA",0.95,0.884666666666667,1.01533333333333,0.720416666666667,0.157600790962975
"ratio","chik_vs_not","IgG","GLMnet",0.915,0.799459703998994,1.03054029600101,0.425,0.112999270828707
"ratio","chik_vs_not","IgG","Random Forest",0.86,0.667960004165799,1.0520399958342,0.466666666666667,0.122253980612059
"ratio","chik_vs_not","IgG","XGBoost",0.955,0.900435909244266,1.00956409075573,0.433333333333333,0.164184456854421
"ratio","chik_vs_not","IgG","PLS-DA",0.98,0.9408,1.0192,0.458333333333333,0.143735339386562
"ratio","chik_vs_not","IgA","GLMnet",0.98,0.9408,1.0192,0.458333333333333,0.0957433715578801
"ratio","chik_vs_not","IgA","Random Forest",0.93,0.8339800020829,1.0260199979171,0.441666666666667,0.101176457142857
"ratio","chik_vs_not","IgA","XGBoost",0.97,0.9308,1.0092,0.441666666666667,0.140743041022683
"ratio","chik_vs_not","IgA","PLS-DA",0.96,0.8816,1.0384,0.483333333333333,0.122690084897218
"ratio","chik_vs_not","IgM","GLMnet",0.74,0.458687078149616,1.02131292185038,0.346785714285714,0.201635857007623
"ratio","chik_vs_not","IgM","Random Forest",0.5175,0.3907613318675,0.6442386681325,0.208452380952381,0.231782704761905
"ratio","chik_vs_not","IgM","XGBoost",0.715,0.529316505849335,0.900683494150665,0.265119047619048,0.198150926171309
"ratio","chik_vs_not","IgM","PLS-DA",0.8,0.552077431442799,1.0479225685572,0.405119047619048,0.198127775292648
"ratio","chik_vs_not","avidity","GLMnet",0.935,0.853595086143403,1.0164049138566,0.441666666666667,0.18382753110377
"ratio","chik_vs_not","avidity","Random Forest",0.915,0.839724771670887,0.990275228329112,0.3,0.0933174666666667
"ratio","chik_vs_not","avidity","XGBoost",0.96,0.91199000104145,1.00800999895855,0.416666666666667,0.0815594476374618
"ratio","chik_vs_not","avidity","PLS-DA",0.92,0.846663515219231,0.993336484780769,0.4,0.143774811652199
"ratio","dengue_vs_chik","IgG","GLMnet",1,1,1,0.75,0.0739477115898385
"ratio","dengue_vs_chik","IgG","Random Forest",0.9,0.704,1.096,0.659166666666667,0.114332266666667
"ratio","dengue_vs_chik","IgG","XGBoost",0.95,0.852,1.048,0.333333333333333,0.163405274745179
"ratio","dengue_vs_chik","IgG","PLS-DA",0.975,0.926,1.024,0.73875,0.136661140991712
"ratio","dengue_vs_chik","IgA","GLMnet",1,1,1,0.75,0.0292583342223617
"ratio","dengue_vs_chik","IgA","Random Forest",0.975,0.926,1.024,0.73875,0.0920585333333333
"ratio","dengue_vs_chik","IgA","XGBoost",0.975,0.926,1.024,0.73875,0.0727772621574803
"ratio","dengue_vs_chik","IgA","PLS-DA",1,1,1,0.75,0.0977887361714551
"ratio","dengue_vs_chik","IgM","GLMnet",0.75,0.576758838609296,0.923241161390704,0.646666666666667,0.196911590784554
"ratio","dengue_vs_chik","IgM","Random Forest",0.475,0.279,0.671,0.504583333333333,0.276375333333333
"ratio","dengue_vs_chik","IgM","XGBoost",0.525,0.362485385272585,0.687514614727415,0.540416666666667,0.296748802214783
"ratio","dengue_vs_chik","IgM","PLS-DA",0.75,0.64043266910251,0.85956733089749,0.629583333333333,0.22047195450278
"ratio","dengue_vs_chik","avidity","GLMnet",0.975,0.926,1.024,0.73875,0.203154436857971
"ratio","dengue_vs_chik","avidity","Random Forest",0.95,0.852,1.048,0.724166666666667,0.0942090666666667
"ratio","dengue_vs_chik","avidity","XGBoost",0.95,0.852,1.048,0.681666666666667,0.0969670836975215
"ratio","dengue_vs_chik","avidity","PLS-DA",0.975,0.926,1.024,0.73875,0.134955538903079
