"dataset_type","question","isotype","Model","Accuracy","AUC_Macro","AUC_Micro","AUPRC_Macro","AUPRC_Micro","Brier","StratBrier","n_predictions","coverage"
"cross_sectional","dengue_serotype","IgG","GLMnet",0.523809523809524,0.276543209876543,0.749055177626606,0.264768003825666,0.44958750575922,0.158877735203501,0.824692115600512,23,1
"cross_sectional","dengue_serotype","IgG","PLS-DA",0.434782608695652,0.434555640437993,0.648393194706994,0.233298847650386,0.326500482713157,0.179332663445114,0.805838258251984,23,1
"cross_sectional","dengue_serotype","IgG","Random Forest",0.565217391304348,0.372953272217978,0.675488342785129,0.231687195826569,0.409163194568126,0.179240046086957,1.00753598055556,23,1
"cross_sectional","dengue_serotype","IgG","XGBoost",0.521739130434783,0.400050929462694,0.659735349716446,0.233412470036364,0.402390770120821,0.19007456946589,1.10515243404908,23,1
"cross_sectional","dengue_serotype","IgA","GLMnet",0.523809523809524,0.269753086419753,0.71957671957672,0.276658398862346,0.402920887222,0.167075138867397,0.864552341550879,23,1
"cross_sectional","dengue_serotype","IgA","PLS-DA",0.521739130434783,0.401480137509549,0.652804032766225,0.225504915362652,0.374729155739779,0.178450497263694,0.782977895548801,23,1
"cross_sectional","dengue_serotype","IgA","Random Forest",0.521739130434783,0.443116564807741,0.708884688090737,0.23955192141039,0.405972164133117,0.170579304347826,0.9363805,23,1
"cross_sectional","dengue_serotype","IgA","XGBoost",0.478260869565217,0.401031321619557,0.66351606805293,0.242811714349985,0.406395560135434,0.176014136245222,0.774573806862251,23,1
"cross_sectional","dengue_serotype","IgM","GLMnet",0.571428571428571,0.0882716049382716,0.697656840513984,0.210605125880216,0.369444504543102,0.167701516186765,0.863263112004322,23,1
"cross_sectional","dengue_serotype","IgM","PLS-DA",0.391304347826087,0.270928826075885,0.601764335223692,0.185484257593349,0.325975645049214,0.181808547906143,0.793293502400992,23,1
"cross_sectional","dengue_serotype","IgM","Random Forest",0.434782608695652,0.191774891774892,0.604914933837429,0.190991916145137,0.329414096206159,0.193506028655107,1.03564747140403,23,1
"cross_sectional","dengue_serotype","IgM","XGBoost",0.478260869565217,0.355637254901961,0.604914933837429,0.215144963075897,0.339857059286605,0.202698573585895,1.08980415813318,23,1
"cross_sectional","dengue_serotype","avidity","GLMnet",0.476190476190476,0.225308641975309,0.719576719576719,0.244889820338092,0.405790308862418,0.167854565584431,0.85328490736078,23,1
"cross_sectional","dengue_serotype","avidity","PLS-DA",0.391304347826087,0.477947542653425,0.610586011342155,0.274620911506028,0.353932829009983,0.186770023106373,0.803781360574286,23,1
"cross_sectional","dengue_serotype","avidity","Random Forest",0.391304347826087,0.420387700534759,0.707624448645243,0.267292941416835,0.494494571972001,0.160041615306602,0.944702365813571,23,1
"cross_sectional","dengue_serotype","avidity","XGBoost",0.478260869565217,0.602422332569391,0.739130434782608,0.293259602383054,0.481474904027953,0.161397472311741,0.780533336864837,23,1
"cross_sectional","dengue_serotype_neg","IgG","GLMnet",0.432432432432432,0.340585637480799,0.734660336011688,0.222568153388573,0.360757831473867,0.142801485456993,0.883216254027789,39,1
"cross_sectional","dengue_serotype_neg","IgG","PLS-DA",0.435897435897436,0.48572197032342,0.707922419460881,0.224568004097217,0.360349026119364,0.149443506204234,0.809002082117608,39,1
"cross_sectional","dengue_serotype_neg","IgG","Random Forest",0.41025641025641,0.374010637778754,0.713675213675214,0.204594729779571,0.357431115550024,0.145632175019943,0.983343620583333,39,1
